policy	taxon_id	species_name	study_role	retained	curated_hybrid	label_flags	interpretation
exclude_curated_hybrids	F1004511	Amanita polypyramis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1005962	Ogataea parapolymorpha	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1006475	Circinaria calcarea	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F100910	Rhodosporidiobolus nylandii	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F101028	Fusarium pseudograminearum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F101097	Entomortierella chlamydospora	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F101098	Gamsiella multidivaricata	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F101201	Trichoderma asperellum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1031713	Tilletia maclaganii	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F103449	Vavraia culicis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1042133	Fusarium musae	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1042397	Schaereria dolodes	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F104341	Rhodonia placenta	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F104355	Gloeophyllum trabeum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F104408	Naganishia liquefaciens	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F104669	Cryptococcus amylolentus	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1048519	Viridothelium virens	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1048829	Paracoccidioides lutzii	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1048955	Tothia fuscella	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1052096	Cladosporium halotolerans	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1055551	Tritirachium sp. CBS 265.96	ingroup	True	False	incompletely_identified_species_label	Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F105984	Apiotrichum porosum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F106004	Leucosporidium creatinivorum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1069201	Aspergillus luchuensis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1080349	Saccharomyces eubayanus	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1081669	Hepatospora eriocheir	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1093897	Phialemonium atrogriseum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1093900	Thyridium curvatum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1095194	Colletotrichum karsti	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F109760	Spizellomyces punctatus	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F109876	Catenaria anguillulae	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F109889	Lobulomyces angularis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F109899	Serendipita vermifera	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F109932	Entophlyctis luteolus	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1099800	Saitoella coloradoensis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F110093	Polychytrium aggregatum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1116844	Thelocarpon impressellum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1117311	Funneliformis geosporum	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F112072	Naohidea sebacea	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1123529	Gonapodya prolifera	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F112417	Gautieria morchelliformis	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1125753	Limtongia smithiae	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1130053	Cirrosporium novae-zelandiae	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F113071	Ramaria rubella	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F1141098	Pseudomassariella vexata	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
exclude_curated_hybrids	F114524	Saccharomyces kudriavzevii	ingroup	True	False		Sensitivity membership only; retention does not establish unique accepted species or absence of unrecognized hybridization.
