calibration_label	numeric_label_group	pdf_page_1based	anchor_1_published	anchor_2_published	placement_label	bound_type_as_reported	age_ma	ma_explicit_in_heading	anchor_1_exact_project_ids	anchor_2_exact_project_ids	both_anchors_exact_names	qualification
1	1	2	Synchytrium microbalum	Homolaphlyctis polyrhiza	stem	minimum	406.2	True	F1806994		False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
2	2	2	Spizellomyces punctatus	Gonapodya prolifera	stem	minimum	406.2	True	F109760	F1123529	True	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
3	3	3	Paraphysoderma sedebokerense	Blastocladiella emersonii	stem	minimum	406.2	True	F1500003	F4808	True	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
4	4	3	Mucor circinelloides	Endogone sp.	stem	minimum	406.2	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
5	5	4	Jimgerdemannia flammicorona	Endogone sp.	crown	soft_maximum	514.5	True	F994334		False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
6	6	5	Jimgerdemannia flammicorona	Endogone sp.	stem	minimum	204.4	True	F994334		False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
7A	7	5	Rhizophagus irregularis	Gigaspora sp.	crown	minimum	406.2	False	F588596		False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
7B	7	6	Gigaspora sp.	Glomus cerebriforme	crown	soft_maximum	514.5	False		F658196	False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
8	8	7	Phaeoacremonium aleophilum	Diaporthe ampelina	stem	minimum	132.0	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
9	9	7	Aureobasidium pullulans	Metarhizium acridum	stem	minimum	406.2	True	F5580		False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
10	10	8	Trichoderma virens	Metarhizium acridum	stem	minimum	98.17	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
11	11	8	Cochliobolus heterostrophus	Aureobasidium pullulans	stem	minimum	65.99	True		F5580	False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
12	12	9	Cyathus striatus	Melampsora larici	stem	minimum	251.66	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
13	13	9	Fomitiporia mediterranea	Rickenella mellea	stem	minimum	132.0	True	F208960	F50990	True	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
14	14	10	Gymnopus luxurians	Mycena galopus	stem	minimum	89.2	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
15	15	10	Schizophyllum commune	Cyathus striatus	stem	minimum	98.17	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
16	16	11	Suillus luteus	Paxillus involutus	stem	minimum	48.7	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
17	17	11	Cyathus striatus	Crucibulum laeve	stem	minimum	41.03	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
18	18	11	Trametes versicolor	Pycnoporus cinnabarinus	stem	minimum	33.9	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
19	19	11			root	soft_maximum	1879.6	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
20	20	12	Colletotrichum graminicola	Cadophora sp.	crown	soft_maximum	514.5	False			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
21	21	12	Chondrus crispus	Cyanidioschyzon merolae	stem	minimum	1033.0	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
22A	22	12	Homo sapiens	Amphimedon queenslandica	crown	minimum	573.51	True		O400682	False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
22B	22	13	Homo sapiens	Amphimedon queenslandica	crown	soft_maximum	609.0	True		O400682	False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
23	23	13	Acanthamoeba castellanii	Dictyostelium discoideum	stem	minimum	738.0	True	O5755	O44689	True	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
24A	24	14	Arabidopsis thaliana	Anthoceros punctatus	crown	minimum	430.54	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
24B	24	14	Arabidopsis thaliana	Anthoceros punctatus	crown	soft_maximum	514.5	True			False	candidate_only_specimen_placement_geochronology_prior_and_node_mapping_review_required
