taxon_id	assembly_accession	species_name	reported_host_groups	reported_specificity_class	source_jgi_project	source_doi	source_url	source_locator	evidence_level	state_status	note	selected_isolate_experimentally_verified	confirmatory_test_status
F48563	GCF_016758785.1	Suillus bovinus	Pinus_subgenus_Pinus	high	Suibov1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F48565	GCA_011800875.2	Suillus brevipes	Pinus_subgenus_Pinus	high	Suibr2	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F1904413	GCF_016758775.1	Suillus clintonianus	Larix	high	Suicli1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F1912939	GCF_016647785.1	Suillus fuscotomentosus	Pinus_subgenus_Pinus	high	Suifus1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F48578	GCF_016628075.1	Suillus paluster	Larix	high	Suipal1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F116603	GCF_016647745.1	Suillus plorans	Pinus_subgenus_Strobus	high	Suiplo1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F48586	GCF_016647625.1	Suillus subalutaceus	Pinus_subgenus_Pinus	high	Suisu1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F48587	GCF_016647635.1	Suillus subaureus	Pinus_subgenus_Strobus;Larix;Quercus	low	Suisub1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	reported_species_host_classification	No direct verification of the selected isolate; preserve multiple host groups and categorical specificity.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F48593	GCA_016767475.1	Suillus weaverae	unknown	unknown	Suigr1	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776; category definitions page 777	host_literature_synthesized_by_primary_genomics_study	source_explicitly_uncertain	Source host reports conflict; do not impute a pine subgenus.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
F1912936	GCF_016758755.1	Suillus discolor	unknown	unknown		https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Figure labels mention the species; no exact Table 1 host row established in this review	unresolved_name_to_table_link	no_verified_table_assignment	Do not transfer the host category of a differently named row or neighboring tree tip.	False	pending_isolate_taxonomy_phylogeny_and_transition_replication
