taxon_id	assembly_accession	trait	species_name	state	source_species_name	source_doi	source_url	source_locator	evidence	provisional_transition_group	scope_note	evidence_level	genus_candidate_primary_lifestyle	conflicts_with_genus_ECM_candidate	selected_isolate_experimentally_verified	confirmatory_test_status
F87326	GCA_001691785.3	mycorrhizal_status_as_classified_by_source	Amanita brunnescens	ectomycorrhizal	Amanita brunnescens	https://doi.org/10.1093/molbev/msy179	https://pringlelab.botany.wisc.edu/documents/hess.amanita.genomes.pdf	Page 2787, The Genus Amanita as a Model	Study classifies this focal species as ectomycorrhizal.	Amanita_single_origin	Species classification; selected assembly and experimental isolate equivalence not established.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F1004511	GCA_001691755.2	mycorrhizal_status_as_classified_by_source	Amanita polypyramis	ectomycorrhizal	Amanita polypyramis	https://doi.org/10.1093/molbev/msy179	https://pringlelab.botany.wisc.edu/documents/hess.amanita.genomes.pdf	Page 2787, The Genus Amanita as a Model	Study classifies this focal species as ectomycorrhizal.	Amanita_single_origin	Species classification; selected assembly and experimental isolate equivalence not established.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F41956	GCA_054369615.1	mycorrhizal_status_as_classified_by_source	Amanita muscaria	ectomycorrhizal	Amanita muscaria var. guessowii	https://doi.org/10.1093/molbev/msy179	https://pringlelab.botany.wisc.edu/documents/hess.amanita.genomes.pdf	Page 2787, The Genus Amanita as a Model	Study classifies the named variety as ectomycorrhizal.	Amanita_single_origin	Variety-specific evidence; equivalence to the selected assembly's taxonomic concept requires review.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F933333	GCA_001691775.3	mycorrhizal_status_as_classified_by_source	Amanita inopinata	asymbiotic	Amanita inopinata	https://doi.org/10.1093/molbev/msy179	https://pringlelab.botany.wisc.edu/documents/hess.amanita.genomes.pdf	Page 2787, The Genus Amanita as a Model	Study classifies this focal species as asymbiotic.	Amanita_single_origin	Do not infer a particular decay substrate or classify all undetected symbioses as absent.	published_species_classification	ectomycorrhizal	True	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F235537	GCA_002554575.1	mycorrhizal_status_as_classified_by_source	Amanita thiersii	asymbiotic	Amanita thiersii	https://doi.org/10.1093/molbev/msy179	https://pringlelab.botany.wisc.edu/documents/hess.amanita.genomes.pdf	Page 2787, The Genus Amanita as a Model	Study classifies this focal species as asymbiotic.	Amanita_single_origin	Genus reassignment and selected taxonomic concept require review; retain the study's species label.	published_species_classification	ectomycorrhizal	True	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F29883	GCF_000143565.1	mycorrhizal_status_as_classified_by_source	Laccaria bicolor	ectomycorrhizal	Laccaria bicolor	https://doi.org/10.1038/nature06556	https://www.nature.com/articles/nature06556	Abstract	Primary genome study identifies this species as ectomycorrhizal.	Laccaria_transition_review_pending	Species classification; phylogenetic independence and selected-isolate linkage remain to be assessed.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F48563	GCF_016758785.1	mycorrhizal_status_as_classified_by_source	Suillus bovinus	ectomycorrhizal	Suillus bovinus	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F48565	GCA_011800875.2	mycorrhizal_status_as_classified_by_source	Suillus brevipes	ectomycorrhizal	Suillus brevipes	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F1904413	GCF_016758775.1	mycorrhizal_status_as_classified_by_source	Suillus clintonianus	ectomycorrhizal	Suillus clintonianus	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F1912939	GCF_016647785.1	mycorrhizal_status_as_classified_by_source	Suillus fuscotomentosus	ectomycorrhizal	Suillus fuscotomentosus	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F48578	GCF_016628075.1	mycorrhizal_status_as_classified_by_source	Suillus paluster	ectomycorrhizal	Suillus paluster	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F116603	GCF_016647745.1	mycorrhizal_status_as_classified_by_source	Suillus plorans	ectomycorrhizal	Suillus plorans	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
F48586	GCF_016647625.1	mycorrhizal_status_as_classified_by_source	Suillus subalutaceus	ectomycorrhizal	Suillus subalutaceus	https://doi.org/10.1111/nph.17160	https://escholarship.org/content/qt0s0381bd/qt0s0381bd.pdf	Table 1, journal page 776 (PDF page 4 including repository cover)	Included among the study's ectomycorrhizal species.	Suillus_transition_review_pending	Species-level study classification; host states and selected-isolate linkage require separate evidence.	published_species_classification	ectomycorrhizal	False	False	pending_taxonomy_phylogeny_and_replicated_transition_review
